draft_id,player_name,draft_season,round_number,round_pick,overall_pick,team_id,team_city,team_name,team_abbreviation,organization,organization_type,position,height_wo_shoes,height_wo_shoes_ft_in,height_w_shoes,height_w_shoes_ft_in,weight,wingspan,wingspan_ft_in,standing_reach,standing_reach_ft_in,body_fat_pct,hand_length,hand_width,standing_vertical_leap,max_vertical_leap,lane_agility_time,modified_lane_agility_time,three_quarter_sprint
101118,Sean May,2005,1,13,13,1610612766,Charlotte,Bobcats,CHA,North Carolina,[College/University],PF,79.0,6' 7'',80.5,6' 8.5'',258.8,85.25,7' 1.25'',105.0,8' 9'',0.0,0.0,0.0,30.0,33.0,11.04,0.0,3.29
101119,Rashad McCants,2005,1,14,14,1610612750,Minnesota,Timberwolves,MIN,North Carolina,[College/University],SG,74.75,6' 2.75'',76.0,6' 4'',201.0,82.75,6' 10.75'',103.5,8' 7.5'',0.0,0.0,0.0,32.5,34.5,10.39,0.0,3.11
101120,Antoine Wright,2005,1,15,15,1610612751,New Jersey,Nets,NJN,Texas A&M,[College/University],SF-SG,77.25,6' 5.25'',78.25,6' 6.25'',202.6,80.75,6' 8.75'',104.5,8' 8.5'',0.0,0.0,0.0,26.5,29.5,11.45,0.0,3.41
101121,Joey Graham,2005,1,16,16,1610612761,Toronto,Raptors,TOR,Oklahoma State,[College/University],SF,77.25,6' 5.25'',78.5,6' 6.5'',216.6,80.0,6' 8'',104.0,8' 8'',0.0,0.0,0.0,30.0,36.0,10.62,0.0,3.05
101122,Danny Granger,2005,1,17,17,1610612754,Indiana,Pacers,IND,New Mexico,[College/University],0,79.5,6' 7.5'',80.5,6' 8.5'',225.4,85.5,7' 1.5'',103.0,8' 7'',0.0,0.0,0.0,31.0,34.0,10.84,0.0,3.34
101123,Gerald Green,2005,1,18,18,1610612738,Boston,Celtics,BOS,Gulf Shores Academy,[High School],SF,78.0,6' 6'',79.25,6' 7.25'',192.0,81.75,6' 9.75'',104.0,8' 8'',0.0,0.0,0.0,31.5,39.0,11.2,0.0,3.21
101124,Hakim Warrick,2005,1,19,19,1610612763,Memphis,Grizzlies,MEM,Syracuse,[College/University],PF-SF,79.25,6' 7.25'',80.5,6' 8.5'',215.0,86.0,7' 2'',108.0,9' 0'',0.0,0.0,0.0,33.0,38.0,0.0,0.0,3.22
101125,Julius Hodge,2005,1,20,20,1610612743,Denver,Nuggets,DEN,North Carolina State,[College/University],SG-SF,78.0,6' 6'',79.0,6' 7'',202.2,84.5,7' 0.5'',107.5,8' 11.5'',0.0,0.0,0.0,24.5,29.0,10.89,0.0,3.18
101126,Nate Robinson,2005,1,21,21,1610612756,Phoenix,Suns,PHX,Washington,[College/University],PG,67.75,5' 7.75'',69.0,5' 9'',181.0,73.0,6' 1'',91.5,7' 7.5'',6.7,0.0,0.0,35.5,43.5,10.75,0.0,2.96
101127,Jarrett Jack,2005,1,22,22,1610612743,Denver,Nuggets,DEN,Georgia Tech,[College/University],PG,74.5,6' 2.5'',75.5,6' 3.5'',197.6,79.5,6' 7.5'',100.0,8' 4'',0.0,0.0,0.0,26.0,28.5,10.87,0.0,3.24
101128,Francisco Garcia,2005,1,23,23,1610612758,Sacramento,Kings,SAC,Louisville,[College/University],SF-SG,77.75,6' 5.75'',79.0,6' 7'',189.6,82.75,6' 10.75'',103.0,8' 7'',0.0,0.0,0.0,27.5,31.5,10.63,0.0,3.33
101129,Luther Head,2005,1,24,24,1610612745,Houston,Rockets,HOU,Illinois,[College/University],PG-SG,74.0,6' 2'',75.0,6' 3'',178.8,77.25,6' 5.25'',98.5,8' 2.5'',0.0,0.0,0.0,31.5,38.5,11.12,0.0,3.21
101131,Jason Maxiell,2005,1,26,26,1610612765,Detroit,Pistons,DET,Cincinnati,[College/University],PF,77.0,6' 5'',78.25,6' 6.25'',257.6,87.25,7' 3.25'',107.0,8' 11'',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101134,Wayne Simien,2005,1,29,29,1610612748,Miami,Heat,MIA,Kansas,[College/University],PF,79.25,6' 7.25'',81.0,6' 9'',255.8,84.0,7' 0'',107.0,8' 11'',0.0,0.0,0.0,27.0,27.5,11.05,0.0,3.35
101135,David Lee,2005,1,30,30,1610612752,New York,Knicks,NYK,Florida,[College/University],PF,79.75,6' 7.75'',81.0,6' 9'',229.5,84.0,7' 0'',106.5,8' 10.5'',0.0,0.0,0.0,30.5,32.5,10.8,0.0,3.19
101138,Brandon Bass,2005,2,3,33,1610612740,New Orleans/Oklahoma City,Hornets,NOK,Louisiana State,[College/University],PF,78.25,6' 6.25'',79.25,6' 7.25'',246.0,86.5,7' 2.5'',106.5,8' 10.5'',9.3,0.0,0.0,31.5,33.0,11.61,0.0,3.24
101141,Ersan Ilyasova,2005,2,6,36,1610612749,Milwaukee,Bucks,MIL,Ulkerspor (Turkey),[Other Team/Club],SF,79.75,6' 7.75'',81.0,6' 9'',208.8,85.25,7' 1.25'',109.5,9' 1.5'',0.0,0.0,0.0,22.0,30.0,11.59,0.0,3.56
101142,Ronny Turiaf,2005,2,7,37,1610612747,Los Angeles,Lakers,LAL,Gonzaga,[College/University],PF,80.0,6' 8'',81.25,6' 9.25'',237.8,85.5,7' 1.5'',106.5,8' 10.5'',0.0,0.0,0.0,30.5,33.0,11.5,0.0,3.23
101143,Travis Diener,2005,2,8,38,1610612753,Orlando,Magic,ORL,Marquette,[College/University],PG-SG,71.75,5' 11.75'',73.0,6' 1'',165.2,71.75,5' 11.75'',93.5,7' 9.5'',0.0,0.0,0.0,24.5,31.0,10.85,0.0,3.26
101145,Monta Ellis,2005,2,10,40,1610612744,Golden State,Warriors,GSW,Lanier,[High School],SG-PG,74.25,6' 2.25'',75.25,6' 3.25'',176.6,74.75,6' 2.75'',98.0,8' 2'',0.0,0.0,0.0,26.5,31.5,12.13,0.0,3.31
101147,Chris Taft,2005,2,12,42,1610612744,Golden State,Warriors,GSW,Pittsburgh,[College/University],PF,80.5,6' 8.5'',81.5,6' 9.5'',261.0,85.75,7' 1.75'',109.0,9' 1'',0.0,0.0,0.0,28.5,33.0,11.26,0.0,3.27
101149,Martynas Andriuskevicius,2005,2,14,44,1610612753,Orlando,Magic,ORL,BC Zalgiris (Lithuania),[Other Team/Club],C-PF,85.25,7' 1.25'',87.0,7' 3'',227.8,83.25,6' 11.25'',112.5,9' 4.5'',0.0,0.0,0.0,24.0,27.5,11.94,0.0,3.42
101152,Bracey Wright,2005,2,17,47,1610612750,Minnesota,Timberwolves,MIN,Indiana,[College/University],SG-PG,73.25,6' 1.25'',74.5,6' 2.5'',186.8,82.0,6' 10'',100.5,8' 4.5'',0.0,0.0,0.0,30.0,36.0,11.58,0.0,3.27
101155,Ryan Gomes,2005,2,20,50,1610612738,Boston,Celtics,BOS,Providence,[College/University],SF-PF,78.5,6' 6.5'',79.75,6' 7.75'',248.0,86.0,7' 2'',106.5,8' 10.5'',0.0,0.0,0.0,26.5,30.5,12.49,0.0,3.24
