game_id,game_date,attendance
22100722,2022-01-26,18904
22100734,2022-01-27,18064
22100733,2022-01-27,20953
22100741,2022-01-28,15106
22100740,2022-01-28,16916
22100736,2022-01-28,13156
22100737,2022-01-28,16932
22100735,2022-01-28,19469
22100739,2022-01-28,16100
22100729,2022-01-28,15254
22100738,2022-01-28,19600
22100742,2022-01-28,18354
22100743,2022-01-28,17071
22100744,2022-01-28,17341
22100747,2022-01-29,20380
22100749,2022-01-29,17135
22100746,2022-01-29,19831
22100748,2022-01-29,19600
22100745,2022-01-29,16168
22100750,2022-01-29,18064
22100753,2022-01-30,19521
22100751,2022-01-30,17391
22100752,2022-01-30,0
22100756,2022-01-30,17341
22100755,2022-01-30,13376
22100757,2022-01-30,10407
22100754,2022-01-30,0
22100758,2022-01-30,17071
22100759,2022-01-31,17637
22100760,2022-01-31,14629
22100761,2022-01-31,20424
22100767,2022-01-31,14168
22100763,2022-01-31,0
22100762,2022-01-31,19156
22100765,2022-01-31,0
22100764,2022-01-31,16146
22100769,2022-02-01,20217
22100784,2022-02-01,15353
22100768,2022-02-01,17341
22100766,2022-02-01,15499
22100771,2022-02-01,17070
22100770,2022-02-01,15839
22100772,2022-02-01,17071
22100774,2022-02-02,20089
22100773,2022-02-02,14528
22100775,2022-02-02,19156
22100776,2022-02-02,19812
22100777,2022-02-02,0
22100778,2022-02-02,19200
22100780,2022-02-02,13153
22100779,2022-02-02,18306
22100781,2022-02-02,17259
22100785,2022-02-03,18064
22100786,2022-02-03,19068
22100783,2022-02-03,0
22100521,2022-02-03,0
22100782,2022-02-03,15523
22100430,2022-02-03,0
22100793,2022-02-04,0
22100787,2022-02-04,17733
22100792,2022-02-04,0
22100791,2022-02-04,19200
22100795,2022-02-04,15329
22100788,2022-02-04,17584
22100789,2022-02-04,16355
22100794,2022-02-04,16152
22100790,2022-02-04,15353
22100798,2022-02-05,18058
22100796,2022-02-05,0
22100797,2022-02-05,19420
22100800,2022-02-05,19393
22100801,2022-02-05,14097
22100799,2022-02-05,18997
22100803,2022-02-06,16487
22100802,2022-02-06,20233
22100807,2022-02-06,19887
22100809,2022-02-06,17395
22100804,2022-02-06,18241
22100805,2022-02-06,19432
22100808,2022-02-06,15702
22100806,2022-02-06,14402
22100814,2022-02-07,18306
22100812,2022-02-07,20615
22100813,2022-02-07,17009
22100810,2022-02-07,14102
22100811,2022-02-07,14222
22100819,2022-02-08,15121
22100818,2022-02-08,16101
22100816,2022-02-08,14265
22100824,2022-02-08,12409
22100823,2022-02-08,16024
22100815,2022-02-08,20720
22100822,2022-02-08,18997
22100817,2022-02-08,17732
22100820,2022-02-08,19200
22100821,2022-02-08,15093
22100829,2022-02-09,0
22100828,2022-02-09,0
22100826,2022-02-09,19099
22100827,2022-02-09,13858
22100830,2022-02-09,12527
22100825,2022-02-09,19432
22100833,2022-02-10,16672
22100834,2022-02-10,0
22100831,2022-02-10,18744
22100837,2022-02-10,18064
22100832,2022-02-10,15204
22100836,2022-02-10,0
22100835,2022-02-10,19532
22100844,2022-02-11,18306
22100843,2022-02-11,20092
22100842,2022-02-11,0
22100841,2022-02-11,17234
22100838,2022-02-11,20088
22100839,2022-02-11,15075
22100840,2022-02-11,20669
22100853,2022-02-12,20028
22100852,2022-02-12,0
22100851,2022-02-12,0
22100855,2022-02-12,17071
22100854,2022-02-12,18064
22100845,2022-02-12,18521
22100850,2022-02-12,0
22100849,2022-02-12,0
22100846,2022-02-12,19454
22100848,2022-02-12,0
22100847,2022-02-12,14169
22100857,2022-02-13,13532
22100856,2022-02-13,19156
22100864,2022-02-14,0
22100861,2022-02-14,21153
22100866,2022-02-14,19068
22100865,2022-02-14,18306
22100863,2022-02-14,15319
22100862,2022-02-14,17341
22100859,2022-02-14,0
22100858,2022-02-14,10793
22100860,2022-02-14,18433
22100871,2022-02-15,17136
22100873,2022-02-15,17071
22100868,2022-02-15,19600
22100870,2022-02-15,17341
22100872,2022-02-15,15901
22100869,2022-02-15,20960
22100867,2022-02-15,15947
22100879,2022-02-16,16834
22100877,2022-02-16,0
22100884,2022-02-16,17787
22100874,2022-02-16,14398
22100875,2022-02-16,19156
22100876,2022-02-16,14540
22100881,2022-02-16,14920
22100878,2022-02-16,19166
22100880,2022-02-16,15982
22100883,2022-02-16,18064
22100882,2022-02-16,0
22100886,2022-02-17,15906
22100885,2022-02-17,17029
22100887,2022-02-17,17341
22100888,2022-02-17,17519
22100464,2022-02-17,17477
22100895,2022-02-24,15855
22100890,2022-02-24,17986
22100894,2022-02-24,20098
22100889,2022-02-24,15622
22100891,2022-02-24,21236
22100892,2022-02-24,16326
22100893,2022-02-24,14176
22100896,2022-02-25,17577
22100902,2022-02-25,17071
22100904,2022-02-25,18997
22100898,2022-02-25,16631
22100899,2022-02-25,15302
22100900,2022-02-25,19812
22100901,2022-02-25,16684
22100897,2022-02-25,15182
22100903,2022-02-25,0
22100908,2022-02-26,0
22100909,2022-02-26,21959
22100910,2022-02-26,17341
22100906,2022-02-26,17870
22100907,2022-02-26,19432
22100911,2022-02-26,19520
22100905,2022-02-26,19122
22100917,2022-02-27,18064
22100913,2022-02-27,17071
22100918,2022-02-27,17771
22100914,2022-02-27,16872
22100912,2022-02-27,19812
22100919,2022-02-27,17536
22100915,2022-02-27,0
22100916,2022-02-27,14324
22100920,2022-02-28,18421
22100923,2022-02-28,16812
22100921,2022-02-28,13014
22100924,2022-02-28,17341
22100925,2022-02-28,13945
22100922,2022-02-28,19683
22100726,2022-02-28,17112
22100927,2022-03-01,19156
22100928,2022-03-01,18903
22100926,2022-03-01,12122
22100931,2022-03-01,17857
22100929,2022-03-01,12949
22100930,2022-03-01,17136
22100934,2022-03-02,21333
22100936,2022-03-02,17341
22100933,2022-03-02,11221
22100935,2022-03-02,13583
22100937,2022-03-02,15490
22100938,2022-03-02,15167
22100932,2022-03-02,19019
22100939,2022-03-02,0
22100942,2022-03-03,19548
22100941,2022-03-03,17732
22100943,2022-03-03,20229
22100944,2022-03-03,13049
22100940,2022-03-03,19156
22100710,2022-03-03,0
22100945,2022-03-03,19068
22100949,2022-03-04,21259
22100951,2022-03-04,15180
22100952,2022-03-04,16254
22100458,2022-03-04,19081
22100946,2022-03-04,17244
22100948,2022-03-04,15927
22100947,2022-03-04,0
22100950,2022-03-04,16178
22100953,2022-03-04,17071
22100958,2022-03-05,17136
22100955,2022-03-05,0
22100954,2022-03-05,20060
22100959,2022-03-05,18997
22100956,2022-03-05,19704
22100957,2022-03-05,17794
22100967,2022-03-06,14962
22100966,2022-03-06,0
22100960,2022-03-06,19156
22100962,2022-03-06,19432
22100964,2022-03-06,18055
22100961,2022-03-06,17495
22100963,2022-03-06,13937
22100965,2022-03-06,15079
22100968,2022-03-07,14942
22100528,2022-03-07,19542
22100971,2022-03-07,16035
22100973,2022-03-07,0
22100969,2022-03-07,20381
22100970,2022-03-07,19600
22100972,2022-03-07,20077
22100974,2022-03-07,14720
22100975,2022-03-08,17230
22100977,2022-03-08,14024
22100978,2022-03-08,16433
22100979,2022-03-08,15743
22100980,2022-03-08,18064
22100976,2022-03-08,14066
22100992,2022-03-09,15282
22100987,2022-03-09,15633
22100986,2022-03-09,16191
22100984,2022-03-09,17341
22100989,2022-03-09,15121
22100983,2022-03-09,19600
22100985,2022-03-09,18055
22100988,2022-03-09,0
22100990,2022-03-09,18306
22100991,2022-03-09,14697
22100981,2022-03-09,18086
22100982,2022-03-09,18022
22100994,2022-03-10,0
22100993,2022-03-10,21408
22101000,2022-03-11,0
22100997,2022-03-11,19156
22101003,2022-03-11,17071
22100999,2022-03-11,15060
22101001,2022-03-11,16838
22100998,2022-03-11,19600
22100995,2022-03-11,14557
22101002,2022-03-11,15753
22101004,2022-03-11,18997
22100996,2022-03-11,16862
22101006,2022-03-12,21727
22101010,2022-03-12,18306
22101009,2022-03-12,18659
22101011,2022-03-12,17524
22101008,2022-03-12,18064
22101005,2022-03-12,19600
22101007,2022-03-12,14605
22101012,2022-03-13,18057
22101013,2022-03-13,19313
22101016,2022-03-13,17038
22101018,2022-03-13,0
22101019,2022-03-13,17071
22101015,2022-03-13,0
22101014,2022-03-13,19156
22101017,2022-03-13,15683
22101021,2022-03-14,16432
22101022,2022-03-14,21444
22101028,2022-03-14,18228
22101023,2022-03-14,15810
22101024,2022-03-14,14143
22101027,2022-03-14,18306
22101026,2022-03-14,15943
22101020,2022-03-14,18742
22101025,2022-03-14,18064
22101029,2022-03-15,15027
22101031,2022-03-15,19600
22101030,2022-03-15,15282
22101032,2022-03-15,16789
22101034,2022-03-16,19432
22101039,2022-03-16,17136
22101035,2022-03-16,15326
22101037,2022-03-16,18213
22101043,2022-03-16,15864
22101036,2022-03-16,17981
22101038,2022-03-16,18055
22101040,2022-03-16,14994
22101044,2022-03-16,19068
22101041,2022-03-16,0
22101033,2022-03-16,16648
22101042,2022-03-16,18064
22101045,2022-03-17,14369
22101047,2022-03-18,18062
22101050,2022-03-18,19812
22101048,2022-03-18,17732
22101046,2022-03-18,21428
22101051,2022-03-18,0
22101052,2022-03-18,19600
22101054,2022-03-18,18354
22101055,2022-03-18,18306
22101053,2022-03-18,13748
22101057,2022-03-18,15313
22101056,2022-03-18,17071
22101049,2022-03-18,19432
22101059,2022-03-19,19279
22101061,2022-03-19,20476
22101058,2022-03-19,17136
22101060,2022-03-19,19432
22101064,2022-03-20,0
22101066,2022-03-20,17583
22101063,2022-03-20,18055
22101067,2022-03-20,19812
22101070,2022-03-20,18064
22101065,2022-03-20,15012
22101069,2022-03-20,21180
22101068,2022-03-20,19602
22101062,2022-03-20,16067
22101076,2022-03-21,21778
22101072,2022-03-21,19432
22101073,2022-03-21,14923
22101074,2022-03-21,21386
22101078,2022-03-21,15345
22101075,2022-03-21,17887
22101077,2022-03-21,13936
22101071,2022-03-21,13351
22101079,2022-03-21,20077
22101082,2022-03-22,17983
22101081,2022-03-22,19812
22101083,2022-03-22,16089
22101080,2022-03-22,17164
22101090,2022-03-23,17136
22101092,2022-03-23,0
22101091,2022-03-23,14393
22101088,2022-03-23,19600
22101089,2022-03-23,17794
22101087,2022-03-23,19156
22101094,2022-03-23,16610
22101085,2022-03-23,16212
22101086,2022-03-23,14227
